Source,Age,NCIY,Date,freq
STAT,0to14,0,1972,72383.01381180804
STAT,0to14,0,1973,72369.01030345267
STAT,0to14,0,1970,72411.01823300098
STAT,0to14,0,1971,72397.01612472879
STAT,15to49,0,1980,153528.95571848628
STAT,15to49,0,1982,153469.54230270465
STAT,15to49,0,1981,153499.24925139337
SIM,15to49,1,2011,9638
STAT,0to14,0,1965,72481.09102528059
STAT,15to49,0,1988,153291.21910512837
SIM,15to49,1,2010,9635
STAT,15to49,0,1987,153320.94868149312
STAT,0to14,0,1966,72467.0624668235
SIM,15to49,1,2013,9645
STAT,0to14,0,1963,72509.18074573205
SIM,15to49,1,2012,9641
STAT,15to49,0,1989,153261.487282105
STAT,0to14,0,1964,72495.12999740218
SIM,15to49,1,2015,27
STAT,0to14,0,1969,72425.02208930311
STAT,15to49,0,1984,153410.1188974787
SIM,15to49,1,2014,9629
STAT,15to49,0,1983,153439.83283123162
STAT,15to49,0,1986,153350.67561113322
STAT,0to14,0,1967,72453.04242715603
STAT,15to49,0,1985,153380.39969036798
STAT,0to14,0,1968,72439.02955895512
STAT,0to14,0,1980,72270.90687057927
STAT,0to14,0,1983,72228.83913725786
STAT,0to14,0,1984,72214.8201953732
STAT,0to14,0,1981,72256.88357672468
STAT,0to14,0,1982,72242.86063406419
STAT,15to49,0,1991,153202.02435062124
STAT,15to49,0,1990,153231.75505102254
STAT,15to49,0,1993,153142.57769447894
STAT,15to49,0,1992,153172.29807515687
STAT,15to49,0,1999,152964.4522227976
STAT,0to14,0,1976,72326.98422147076
STAT,15to49,0,1998,152994.11139331092
STAT,0to14,0,1977,72312.96886064067
STAT,0to14,0,1974,72355.00463024424
STAT,0to14,0,1975,72340.99607040592
STAT,15to49,0,1995,153083.15996996037
STAT,15to49,0,1994,153112.86440293226
STAT,15to49,0,1997,153023.7826029329
STAT,0to14,0,1978,72298.95041716562
STAT,15to49,0,1996,153053.46567257305
STAT,0to14,0,1979,72284.92948660815
STAT,0to14,0,1990,72130.80931494942
STAT,0to14,0,1991,72116.82889070848
