Source,Age,NCIY,Date,freq
STAT,0to14,0,1972,144769.87868898755
STAT,0to14,0,1973,144741.8623887737
STAT,0to14,0,1970,144825.89685952826
STAT,0to14,0,1971,144797.8893761017
STAT,15to49,0,1980,307066.06296132243
STAT,15to49,0,1982,306947.2079075633
STAT,15to49,0,1981,307006.6398871155
SIM,15to49,1,2011,19306
STAT,0to14,0,1965,144965.9981047855
STAT,15to49,0,1988,306590.4228284706
SIM,15to49,1,2010,19273
STAT,0to14,0,1966,144937.95677210082
STAT,15to49,0,1987,306649.90447999974
SIM,15to49,1,2013,19296
STAT,0to14,0,1963,145022.1385930267
SIM,15to49,1,2012,19256
STAT,15to49,0,1989,306530.9410239456
STAT,0to14,0,1964,144994.0577458195
SIM,15to49,1,2015,51
STAT,0to14,0,1969,144853.90399180786
STAT,15to49,0,1984,306828.3145048666
SIM,15to49,1,2014,19254
STAT,15to49,0,1983,306887.765997128
STAT,0to14,0,1967,144909.93033609306
STAT,15to49,0,1986,306709.3825187386
STAT,0to14,0,1968,144881.91402774912
STAT,15to49,0,1985,306768.85304487764
STAT,0to14,0,1980,144545.5654995178
STAT,0to14,0,1983,144461.4118840884
STAT,0to14,0,1984,144433.37310242635
STAT,0to14,0,1981,144517.51043961142
STAT,0to14,0,1982,144489.45839877377
STAT,15to49,0,1991,306411.99168204755
STAT,15to49,0,1990,306471.4625229009
STAT,15to49,0,1993,306293.09019957535
STAT,15to49,0,1992,306352.53313434677
STAT,15to49,0,1999,305936.89031633415
STAT,0to14,0,1976,144657.77066954484
STAT,15to49,0,1998,305996.1962076226
STAT,0to14,0,1977,144629.7257351561
STAT,0to14,0,1974,144713.83927071825
STAT,0to14,0,1975,144685.80871840558
STAT,15to49,0,1995,306174.2617248776
STAT,15to49,0,1994,306233.6654776075
STAT,15to49,0,1997,306055.5263258422
STAT,0to14,0,1978,144601.67527971743
STAT,15to49,0,1996,306114.8813759985
STAT,0to14,0,1979,144573.62119153852
STAT,0to14,0,1990,144265.3820699625
STAT,0to14,0,1991,144237.42866840962
STAT,0to14,0,1994,144153.63446028566
STAT,15to49,0,1969,307720.75414299645
STAT,0to14,0,1995,144125.72066592364
STAT,0to14,0,1992,144209.48707758394
STAT,0to14,0,1993,144181.5561260728
STAT,15to49,0,1960,308259.489656754
STAT,15to49,0,1966,307900.1117867429
STAT,0to14,0,1987,144349.3200834922
STAT,15to49,0,1965,307959.9840874553
STAT,0to14,0,1988,144321.32743862612
STAT,15to49,0,1968,307780.49980210414
STAT,0to14,0,1985,144405.3438993594
STAT,15to49,0,1967,307840.28586100443
STAT,0to14,0,1986,144377.32583223446
STAT,15to49,0,1962,308139.68064988754
STAT,15to49,0,1961,308199.5850976342
STAT,15to49,0,1964,308019.87654135836
STAT,0to14,0,1989,144293.3481542481
STAT,15to49,0,1963,308079.7791199871
SIM,15to49,1,2008,19287
SIM,15to49,1,2007,19306
STAT,15to49,0,1971,307601.40530902124
SIM,15to49,1,2009,19282
STAT,15to49,0,1970,307661.05481517734
SIM,15to49,1,2000,19325
STAT,15to49,0,1977,307244.3348548687
STAT,0to14,0,1998,144042.01221576822
STAT,15to49,0,1976,307303.7752722471
STAT,0to14,0,1999,144014.11604729644
SIM,15to49,1,2002,19316
STAT,15to49,0,1979,307125.48306313466
STAT,0to14,0,1996,144097.81329792002
SIM,15to49,1,2001,19333
STAT,15to49,0,1978,307184.9052850174
STAT,0to14,0,1997,144069.91092897943
SIM,15to49,1,2004,19323
STAT,15to49,0,1973,307482.24642343464
SIM,15to49,1,2003,19308
STAT,15to49,0,1972,307541.8066277141
SIM,15to49,1,2006,19311
STAT,15to49,0,1975,307363.23462553264
SIM,15to49,1,2005,19306
STAT,15to49,0,1974,307422.7232113676
STAT,15to49,0,1948,308975.440161042
STAT,15to49,0,1947,309035.0758561382
STAT,15to49,0,1949,308915.8660529895
STAT,15to49,0,1944,309214.3573664229
STAT,15to49,0,1943,309274.3370157486
STAT,15to49,0,1946,309094.7615166669
STAT,15to49,0,1945,309154.4856524525
STAT,15to49,0,1940,309454.76416072296
STAT,15to49,0,1942,309334.3959454639
STAT,15to49,0,1941,309394.4975512814
STAT,15to49,0,1959,308319.35093210597
STAT,15to49,0,1958,308379.1683164315
STAT,15to49,0,1955,308558.39510567515
STAT,15to49,0,1954,308618.0479236007
STAT,15to49,0,1957,308438.9446345543
STAT,15to49,0,1956,308498.690233437
STAT,15to49,0,1951,308796.7925397069
