priority,code version,reason,n,seed size,rf,prf,iw,input dir,results dir,required memory,output record format,deterministic,seed,setup br,setup dr,bf,df,tS,t0,tE,timestep,binomial sampling,min birth spacing,min ges period,ct tree stepback
4,53367fc7d91c7a01c7cf711f5ae6128af347cb13,fs-1,10,7812,0,0.6,P10Y,src/main/resources/valipop/inputs/scotland_test_population,/cs/tmp/tsd4/results/,15,EG_SKYE,FALSE,-,0.0233,0.0322,0,0,1687-01-01,1855-01-01,2015-01-01,P1Y,TRUE,P147D,P147D,5
4,53367fc7d91c7a01c7cf711f5ae6128af347cb13,fs-1,10,7812,1,0.6,P10Y,src/main/resources/valipop/inputs/scotland_test_population,/cs/tmp/tsd4/results/,15,EG_SKYE,FALSE,-,0.0233,0.0322,0,0,1687-01-01,1855-01-01,2015-01-01,P1Y,TRUE,P147D,P147D,5
4,53367fc7d91c7a01c7cf711f5ae6128af347cb13,fs-1,10,7812,0.3,0,P10Y,src/main/resources/valipop/inputs/scotland_test_population,/cs/tmp/tsd4/results/,15,EG_SKYE,FALSE,-,0.0233,0.0322,0,0,1687-01-01,1855-01-01,2015-01-01,P1Y,TRUE,P147D,P147D,5
4,53367fc7d91c7a01c7cf711f5ae6128af347cb13,fs-1,10,1000,0.3,1,P10Y,src/main/resources/valipop/inputs/scotland_test_population,/cs/tmp/tsd4/results/,15,EG_SKYE,FALSE,-,0.0233,0.0322,0,0,1687-01-01,1855-01-01,2015-01-01,P1Y,TRUE,P147D,P147D,5
2,53367fc7d91c7a01c7cf711f5ae6128af347cb13,fs-1,5,31250,0,0,P10Y,src/main/resources/valipop/inputs/scotland_test_population,/cs/tmp/tsd4/results/,15,EG_SKYE,FALSE,-,0.0233,0.0322,0,0,1687-01-01,1855-01-01,2015-01-01,P1Y,TRUE,P147D,P147D,5
4,53367fc7d91c7a01c7cf711f5ae6128af347cb13,fs-1,10,1000,0.6,0,P10Y,src/main/resources/valipop/inputs/scotland_test_population,/cs/tmp/tsd4/results/,15,EG_SKYE,FALSE,-,0.0233,0.0322,0,0,1687-01-01,1855-01-01,2015-01-01,P1Y,TRUE,P147D,P147D,5
4,53367fc7d91c7a01c7cf711f5ae6128af347cb13,fs-1,10,7812,1,0.3,P10Y,src/main/resources/valipop/inputs/scotland_test_population,/cs/tmp/tsd4/results/,15,EG_SKYE,FALSE,-,0.0233,0.0322,0,0,1687-01-01,1855-01-01,2015-01-01,P1Y,TRUE,P147D,P147D,5
4,53367fc7d91c7a01c7cf711f5ae6128af347cb13,fs-1,10,1000,0,0.6,P10Y,src/main/resources/valipop/inputs/scotland_test_population,/cs/tmp/tsd4/results/,15,EG_SKYE,FALSE,-,0.0233,0.0322,0,0,1687-01-01,1855-01-01,2015-01-01,P1Y,TRUE,P147D,P147D,5
4,53367fc7d91c7a01c7cf711f5ae6128af347cb13,fs-1,10,7812,1,0,P10Y,src/main/resources/valipop/inputs/scotland_test_population,/cs/tmp/tsd4/results/,15,EG_SKYE,FALSE,-,0.0233,0.0322,0,0,1687-01-01,1855-01-01,2015-01-01,P1Y,TRUE,P147D,P147D,5
4,53367fc7d91c7a01c7cf711f5ae6128af347cb13,fs-1,10,1000,0.3,0.6,P10Y,src/main/resources/valipop/inputs/scotland_test_population,/cs/tmp/tsd4/results/,15,EG_SKYE,FALSE,-,0.0233,0.0322,0,0,1687-01-01,1855-01-01,2015-01-01,P1Y,TRUE,P147D,P147D,5
4,53367fc7d91c7a01c7cf711f5ae6128af347cb13,fs-1,10,7812,0.6,1,P10Y,src/main/resources/valipop/inputs/scotland_test_population,/cs/tmp/tsd4/results/,15,EG_SKYE,FALSE,-,0.0233,0.0322,0,0,1687-01-01,1855-01-01,2015-01-01,P1Y,TRUE,P147D,P147D,5
4,53367fc7d91c7a01c7cf711f5ae6128af347cb13,fs-1,10,1000,0.6,0.3,P10Y,src/main/resources/valipop/inputs/scotland_test_population,/cs/tmp/tsd4/results/,15,EG_SKYE,FALSE,-,0.0233,0.0322,0,0,1687-01-01,1855-01-01,2015-01-01,P1Y,TRUE,P147D,P147D,5
2,53367fc7d91c7a01c7cf711f5ae6128af347cb13,fs-1,5,15625,1,1,P10Y,src/main/resources/valipop/inputs/scotland_test_population,/cs/tmp/tsd4/results/,15,EG_SKYE,FALSE,-,0.0233,0.0322,0,0,1687-01-01,1855-01-01,2015-01-01,P1Y,TRUE,P147D,P147D,5
4,53367fc7d91c7a01c7cf711f5ae6128af347cb13,fs-1,10,1000,0,0,P10Y,src/main/resources/valipop/inputs/scotland_test_population,/cs/tmp/tsd4/results/,15,EG_SKYE,FALSE,-,0.0233,0.0322,0,0,1687-01-01,1855-01-01,2015-01-01,P1Y,TRUE,P147D,P147D,5
4,53367fc7d91c7a01c7cf711f5ae6128af347cb13,fs-1,10,1000,1,1,P10Y,src/main/resources/valipop/inputs/scotland_test_population,/cs/tmp/tsd4/results/,15,EG_SKYE,FALSE,-,0.0233,0.0322,0,0,1687-01-01,1855-01-01,2015-01-01,P1Y,TRUE,P147D,P147D,5
4,53367fc7d91c7a01c7cf711f5ae6128af347cb13,fs-1,10,7812,0.3,0.6,P10Y,src/main/resources/valipop/inputs/scotland_test_population,/cs/tmp/tsd4/results/,15,EG_SKYE,FALSE,-,0.0233,0.0322,0,0,1687-01-01,1855-01-01,2015-01-01,P1Y,TRUE,P147D,P147D,5
